controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source
moth,normal,105,True,209,30.079999999999984,0,2.1796424403391432,41.14832535885167,0.43982375827125236
moth,normal,106,True,471,34.24,236,2.514297871709261,74.09766454352442,0.38399061350288816
moth,normal,107,True,211,30.4,0,2.1680732785484658,41.70616113744076,0.3684094733891996
moth,normal,108,True,256,36.79999999999999,0,2.6822369791610683,41.015625,0.3254757383498024
moth,normal,109,True,307,44.63999999999997,0,3.2498789361090394,46.579804560260584,0.3820558488988856
moth,normal,110,True,277,40.959999999999944,0,3.0194733650384484,55.95667870036101,0.447129863637341
moth,normal,111,False,1200,24.640000000000015,1025,3.256817714176405,89.58333333333334,6.5213440019044935
moth,normal,112,True,342,45.120000000000026,31,3.2434616098587976,50.58479532163743,0.3525654261524649
moth,normal,113,True,244,35.68000000000007,0,2.617439456254472,50.409836065573764,0.39961455327496803
moth,normal,114,True,209,30.080000000000013,0,2.193079862953145,40.66985645933015,0.31947595703782455
moth,normal,115,False,1200,23.999999999999993,1029,3.0690407664113706,89.91666666666667,6.517038694429412
moth,normal,116,False,1200,24.00000000000001,1029,3.044726263438559,89.83333333333333,6.530193930762971
moth,normal,117,True,338,35.03999999999997,98,2.5581942983425665,64.20118343195266,0.4216308552072042
moth,normal,118,True,207,29.75999999999998,0,2.17213001991487,41.06280193236715,0.41727107413989056
moth,normal,119,True,209,30.079999999999913,0,2.1996987691823806,41.62679425837321,0.40204476878250744
moth,normal,120,True,241,35.20000000000001,0,2.5572000049842267,48.96265560165975,0.3924177964632552
moth,normal,121,True,212,30.55999999999994,0,2.2074629641570036,41.509433962264154,0.3438322557458339
moth,normal,122,True,253,37.11999999999995,0,2.6844539330387764,51.77865612648221,0.405747192896888
moth,normal,123,True,207,29.759999999999984,0,2.1829568448372094,41.54589371980676,0.3799570482679201
moth,normal,124,True,214,30.879999999999935,0,2.250049567606476,41.58878504672897,0.3646486506171284
moth,normal,125,True,264,37.91999999999997,0,2.7411857502120136,40.53030303030303,0.40050830105812685
moth,normal,126,True,242,35.36000000000001,0,2.6011326987261247,50.0,0.43264501410102757
moth,normal,127,True,246,36.0,0,2.6153660480845664,49.59349593495935,0.3267961390451111
moth,normal,128,True,242,35.360000000000035,0,2.5948278419830015,49.586776859504134,0.4482670536008921
moth,normal,129,True,240,35.039999999999964,0,2.536775683764713,49.583333333333336,0.3336807438346336
moth,normal,130,True,307,44.640000000000036,0,3.246104706647143,46.25407166123778,0.39344040410572445
moth,normal,131,True,208,29.91999999999999,0,2.1937274142802377,41.34615384615385,0.4218204823751304
moth,normal,132,True,260,38.24000000000005,0,2.756381145830314,53.84615384615385,0.4362007620681738
moth,normal,133,True,209,30.080000000000062,0,2.172266147920835,42.10526315789473,0.4242656707155184
moth,normal,134,True,250,36.639999999999986,0,2.67416031443065,50.8,0.37407797278942084
moth,normal,135,True,246,36.000000000000014,0,2.638487704635388,50.40650406504065,0.4000056360663229
moth,normal,136,True,245,35.839999999999975,0,2.614214701215682,50.204081632653065,0.3292321005818274
moth,normal,137,True,210,30.240000000000038,0,2.206495439839547,41.904761904761905,0.4067979845289525
moth,normal,138,False,1200,23.99999999999998,1029,3.0274486449733864,89.83333333333333,6.477036411961008
moth,normal,139,True,250,36.63999999999997,0,2.6917853342315925,51.6,0.4373864827423562
moth,normal,140,True,244,35.67999999999994,0,2.6117383019528595,49.59016393442623,0.4426085465995971
moth,normal,141,True,249,36.48000000000003,0,2.6790542313080405,49.79919678714859,0.3885602797254423
moth,normal,142,True,300,43.84000000000002,0,3.1787326831822305,48.333333333333336,0.3213129558627731
moth,normal,143,True,299,43.51999999999998,0,3.154090350503342,46.82274247491639,0.3899797252437628
moth,normal,144,True,243,35.51999999999997,0,2.592491620947263,49.382716049382715,0.3138893194312195
moth,normal,145,True,239,34.880000000000024,0,2.5721992689369086,49.37238493723849,0.4485854526265902
moth,normal,146,True,231,30.079999999999984,22,2.198482065050664,47.18614718614719,0.3942691497220902
moth,normal,147,True,250,36.64000000000002,0,2.686653261603699,51.2,0.4281750852502254
moth,normal,148,True,232,33.76000000000003,0,2.4651234239336266,47.41379310344828,0.39628731014621377
moth,normal,149,True,240,35.03999999999994,0,2.559891972685159,48.333333333333336,0.4081198344438941
random,left_disabled,100,False,1200,78.55999999999997,71,7.014036007448032,60.25,2.829927385165677
random,left_disabled,101,False,1200,81.59999999999994,121,16.88801200223525,29.25,16.388190855406794
random,left_disabled,102,False,1200,69.44,149,5.642596076460382,32.25,6.193002205064805
random,left_disabled,103,False,1200,73.4400000000001,150,27.940074509745003,27.666666666666668,12.47448063864243
random,left_disabled,104,False,1200,85.43999999999998,83,14.894279411761312,28.083333333333332,13.672339220467144
random,left_disabled,105,False,1200,71.35999999999999,178,5.817639710969845,36.0,7.019674931243511
random,left_disabled,106,False,1200,77.28,127,4.971427432294908,50.16666666666667,3.7079489492059965
random,left_disabled,107,False,1200,64.00000000000001,169,9.666078734611029,32.916666666666664,9.821618176662033
random,left_disabled,108,False,1200,94.56000000000003,4,35.91809843157116,30.0,16.389233794743586
random,left_disabled,109,False,1200,73.91999999999994,148,15.065713294631157,50.16666666666667,10.853083183155796
random,left_disabled,110,False,1200,90.23999999999995,24,15.295601911447541,31.666666666666664,8.37941899675911
random,left_disabled,111,False,1200,81.27999999999992,115,20.97441829410127,17.25,15.73297151266859
random,left_disabled,112,False,1200,80.80000000000004,113,11.900170638971325,17.916666666666668,15.39976307767678
random,left_disabled,113,False,1200,95.2,14,18.326272012129166,59.833333333333336,16.18930298820139
random,left_disabled,114,False,1200,91.04000000000002,36,13.04266101110838,25.083333333333336,7.982259273672787
random,left_disabled,115,False,1200,65.44,225,11.6557179145935,0.6666666666666667,13.846311497333355
random,left_disabled,116,False,1200,78.72000000000003,114,13.999044454590658,38.58333333333333,12.040643477858344
random,left_disabled,117,False,1200,64.47999999999999,204,23.234181287071266,26.583333333333332,15.544022880211815
random,left_disabled,118,False,1200,83.68,42,14.352830394922865,31.333333333333336,9.161529457098993
random,left_disabled,119,False,1200,84.47999999999999,70,5.387295702488016,46.25,5.703079338566748
random,left_disabled,120,False,1200,84.32000000000002,113,33.0771834594697,46.33333333333333,16.33046900696131
random,left_disabled,121,False,1200,87.84,46,9.6847053546716,27.083333333333332,10.631946356913943
random,left_disabled,122,False,1200,63.839999999999975,254,5.618377909021841,6.083333333333334,7.087609002162073
random,left_disabled,123,False,1200,85.11999999999996,87,25.1383431301163,46.0,13.10708866751907
random,left_disabled,124,False,1200,80.79999999999997,76,14.002180805076437,41.25,15.506707199203746
random,left_disabled,125,False,1200,82.71999999999998,87,8.204590440602217,33.5,7.5953765934606965
random,left_disabled,126,False,1200,61.75999999999999,204,13.32780725932681,24.25,15.87752849958078
random,left_disabled,127,False,1200,83.19999999999996,84,20.215647417162987,46.5,14.767281913400259
random,left_disabled,128,False,1200,50.72,289,14.443389633005156,6.75,14.558711072117884
random,left_disabled,129,False,1200,94.55999999999999,20,63.04387759173694,52.083333333333336,14.13625732608859
random,left_disabled,130,False,1200,89.60000000000004,61,7.006037958027439,52.0,2.752829956957517
random,left_disabled,131,False,1200,90.88,25,14.220524446403182,45.58333333333333,15.146219734665474
random,left_disabled,132,False,1200,72.63999999999999,104,8.381818883644458,29.583333333333332,8.951949177162978
