policy,observation_condition,physical_condition,seed,success,steps,path_length,collisions,tortuosity,actual_odor_detection_percentage,final_distance_to_source
ppo_normal,wind_rotated,normal,6030,False,600,4.799999999999995,0,1.0187245510351857,0.0,14.340850745732068
ppo_normal,wind_rotated,normal,6031,False,600,7.040000000000003,0,1.3906701413598446,0.0,11.756679600083459
ppo_normal,wind_rotated,normal,6032,False,600,5.279999999999998,0,1.0245220657421554,0.0,14.395100668805027
ppo_normal,wind_rotated,normal,6033,False,600,8.800000000000002,0,1.2876307302932184,0.0,11.467053474158966
ppo_normal,wind_rotated,normal,6034,False,600,8.320000000000011,0,1.2231117428507838,0.0,11.970968658997005
ppo_normal,wind_rotated,normal,6035,False,600,3.679999999999998,0,1.3436252709995804,0.0,15.456146219135361
ppo_normal,wind_rotated,normal,6036,False,600,6.71999999999999,0,2.087829619095052,0.0,15.170456203816098
ppo_normal,wind_rotated,normal,6037,False,600,6.5600000000000085,0,1.3435625660433452,0.0,11.769047469236416
ppo_normal,wind_rotated,normal,6038,False,600,6.720000000000001,0,1.0772710962341085,0.0,13.476412900781405
ppo_normal,wind_rotated,normal,6039,False,600,4.159999999999997,0,1.296859635084287,0.0,15.319931266307643
ppo_normal,wind_rotated,normal,6040,False,600,3.84,0,1.0515393637144386,0.0,13.972594977994595
ppo_normal,wind_rotated,normal,6041,False,600,10.559999999999992,0,1.3390795143314613,0.0,11.142067830003286
ppo_normal,wind_rotated,normal,6042,False,600,7.359999999999989,0,2.5053390547393555,0.0,14.079331147317404
ppo_normal,wind_rotated,normal,6043,False,600,9.599999999999998,0,1.3168020434007022,0.0,11.51539422754137
ppo_normal,wind_rotated,normal,6044,False,600,8.320000000000014,0,1.337567846269154,0.0,16.342693754851247
ppo_normal,wind_rotated,normal,6045,False,600,6.879999999999996,0,1.3341362840297148,0.0,11.490608269043234
ppo_normal,wind_rotated,normal,6046,False,600,4.479999999999993,0,1.552175422134755,0.0,15.81221453851191
ppo_normal,wind_rotated,normal,6047,False,600,6.400000000000008,0,1.0957487889537856,0.0,15.087386830922616
ppo_normal,wind_rotated,normal,6048,False,600,8.000000000000014,0,1.4164347352398838,0.0,16.190800038628502
ppo_normal,wind_rotated,normal,6049,False,600,7.360000000000003,0,1.171401603169879,0.0,14.611818718681675
