controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source,total_reward
rl,left_disabled,2030,False,600,24.480000000000004,0,1.5158653032375309,4.666666666666667,4.481968620781623,0.022878087666597283
rl,left_disabled,2031,False,600,24.000000000000007,0,1.5258291171080476,4.666666666666667,4.320848508944562,0.08779899734595548
rl,left_disabled,2032,False,600,16.79999999999999,0,1.1121678759262648,2.5,2.781372450736199,0.8854965383948361
rl,left_disabled,2033,False,600,17.11999999999998,0,1.1293086558616672,1.6666666666666667,2.4799112188542702,1.0230393641914568
rl,left_disabled,2034,False,600,16.640000000000004,0,1.1143266805936993,1.8333333333333333,2.630006508498474,0.9608388245723756
rl,left_disabled,2035,False,600,17.279999999999994,0,1.1598320421841009,2.5,2.741431010669276,0.9385249493750332
rl,left_disabled,2036,False,600,23.040000000000017,0,1.5125182531783905,4.666666666666667,4.100215125932997,0.22307238354198367
rl,left_disabled,2037,False,600,23.679999999999975,0,1.5254081808113533,5.333333333333334,4.46132290276825,0.05542879289848766
rl,left_disabled,2038,False,600,24.47999999999999,0,1.525116236234933,5.166666666666667,4.273684051549412,0.22602908651048326
rl,left_disabled,2039,False,600,25.120000000000005,0,1.5438696786844266,5.166666666666667,4.366467255740583,0.14859126186713034
rl,left_disabled,2040,False,600,16.959999999999994,0,1.1201700624672133,2.5,2.7156368647816307,0.9299087655851164
rl,left_disabled,2041,False,600,17.76,0,1.1864100598681688,2.0,3.0047490869081717,0.7578440808244105
rl,left_disabled,2042,False,600,22.88000000000001,0,1.5075036023807147,4.5,4.060512644449776,0.2483340993763461
rl,left_disabled,2043,False,600,22.559999999999985,0,1.4774509779602925,4.333333333333334,4.035047179290785,0.2424858997253665
rl,left_disabled,2044,False,600,17.92000000000001,0,1.205017973783604,3.3333333333333335,2.5442240078397345,1.1221075373277882
rl,left_disabled,2045,False,600,22.24000000000001,0,1.4517200329776117,4.666666666666667,4.057657555697312,0.245492233715372
rl,left_disabled,2046,False,600,24.00000000000002,0,1.600066393074814,6.333333333333334,4.021595119825869,0.44047104093774436
rl,left_disabled,2047,False,600,23.520000000000007,0,1.4915650655065802,5.166666666666667,4.439471810719365,0.04669272624044406
rl,left_disabled,2048,False,600,23.839999999999996,0,1.4976718064342234,4.166666666666666,4.2926076690531465,0.12478456264702455
rl,left_disabled,2049,False,600,16.800000000000004,0,1.1056697720065034,2.3333333333333335,2.7051168321806305,0.9182366761463079
