time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/loss,rollout/success_rate,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
3408,13,23,47104,220,-1.649347174167633,0.126904296875,0.014850783,1.9030775710940362,539.9764705882353,0.728293240070343,0.2,0.0003,17.295042388235295,0.8123164176940918,0.3176470588235294,-0.011945905862376094,,,
3457,14,24,49152,230,-1.6709265932440758,0.016845703125,0.0038165366,22.42934650182724,540.9101123595506,0.3302401304244995,0.2,0.0003,17.218717595505616,8.586435317993164,0.3146067415730337,-0.005186513818625826,,,
,,,50000,240,-1.6583130791783334,0.039208984375,0.0075653815,9.891065430641174,,0.4433768391609192,0.2,0.0003,,2.3690459728240967,,-0.004313700454076752,9.8199115,500.4,0.2
3268,15,25,51200,,,,,,539.1827956989247,,,,17.757249075268813,,0.3225806451612903,,,,
3313,16,26,53248,250,-1.659746842086315,0.023291015625,0.0058120433,14.029332721233368,539.7113402061856,0.4043048024177551,0.2,0.0003,18.210798453608245,8.13498592376709,0.32989690721649484,-0.0052710187883349136,,,
3357,16,27,55296,260,-1.6591894641518592,0.005126953125,0.0020256722,16.087417989969254,540.69,0.28244733810424805,0.2,0.0003,18.20305122,7.546754360198975,0.33,-0.002640125132165849,,,
3399,16,28,57344,270,-1.6687798649072647,0.03759765625,0.0065396503,9.265929698944092,540.18,0.23850178718566895,0.2,0.0003,19.939057769999998,3.6972758769989014,0.35,-0.008157875324832276,,,
3439,17,29,59392,280,-1.6643203809857368,0.04169921875,0.006755449,15.080597716569901,536.87,0.25221794843673706,0.2,0.0003,21.56954781,7.498279571533203,0.37,-0.006222823477583006,,,
,,,60000,290,-1.651161642372608,0.030078125,0.0059187454,16.65343029499054,,0.3216556906700134,0.2,0.0003,,8.64238452911377,,-0.006259861454600469,-0.22791379999999997,600.0,0.0
3254,18,30,61440,,,,,,532.34,,,,22.285080999999995,,0.38,,,,
